qid,tipo,question,eligible,common,final,raw_unvalidated,common_f1,final_f1,raw_unvalidated_f1,delta,status
locomo:conv-26:qa106,single-hop,What are the new shoes that Melanie got used for?,True,running,"running, de-stressing","running, de-stressing",1.0,0.6666666666666666,0.6666666666666666,-0.33333333333333337,generated_answer
locomo:conv-26:qa87,single-hop,Why did Caroline choose the adoption agency?,False,They help LGBTQ+ folks with adoption. Their inclusivity and support really spoke to her.,They help LGBTQ+ folks with adoption. Their inclusivity and support really spoke to her.,They help LGBTQ+ folks with adoption. Their inclusivity and support really spoke to her.,0.380952380952381,0.380952380952381,0.380952380952381,0.0,generated_answer
locomo:conv-26:qa100,single-hop,What kind of place does Caroline want to create for people?,False,a more loving world,a more loving world,a more loving world,0.0,0.0,0.0,0.0,generated_answer
locomo:conv-26:qa82,single-hop,What did the charity race raise awareness for?,False,mental health,mental health,mental health,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa116,single-hop,What inspired Caroline's painting for the art show?,False,visiting a LGBTQ center,visiting a LGBTQ center,visiting a LGBTQ center,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,generated_answer
locomo:conv-26:qa94,single-hop,What is Melanie's hand-painted bowl a reminder of?,False,insufficient information,insufficient information,insufficient information,0.0,0.0,0.0,0.0,generated_answer
locomo:conv-26:qa76,multi-hop,When did Melanie go on a hike after the roadtrip?,False,insufficient information,insufficient information,insufficient information,0.0,0.0,0.0,0.0,generated_answer
locomo:conv-26:qa115,single-hop,Why are flowers important to Melanie?,False,"represent growth, beauty and reminding us to appreciate the small moments","represent growth, beauty and reminding us to appreciate the small moments","represent growth, beauty and reminding us to appreciate the small moments",0.4545454545454546,0.4545454545454546,0.4545454545454546,0.0,generated_answer
locomo:conv-26:qa23,multi-hop,What books has Melanie read?,True,"Charlotte's Web, a book about pottery",Charlotte's Web,Charlotte's Web,0.5,0.5,0.5,0.0,generated_answer
locomo:conv-26:qa55,multi-hop,What subject have Caroline and Melanie both painted?,True,horses,insufficient information,sunset,0.0,0.0,1.0,0.0,local_rejection_present
locomo:conv-26:qa105,single-hop,"What did Caroline take away from the book ""Becoming Nicole""?",True,self-acceptance and how to find support,self-acceptance and how to find support,self-acceptance and how to find support,0.6,0.6,0.6,0.0,generated_answer
locomo:conv-26:qa146,single-hop,How did Melanie's children handle the accident?,True,scared but reassured,They were scared but we reassured them and explained their brother would be OK. They're tough kids.,They were scared but we reassured them and explained their brother would be OK. They're tough kids.,0.5,0.38095238095238093,0.38095238095238093,-0.11904761904761907,generated_answer
locomo:conv-26:qa139,single-hop,What was the poetry reading that Caroline attended about?,False,transgender poetry reading where transgender people shared their stories through poetry,transgender poetry reading where transgender people shared their stories through poetry,transgender poetry reading where transgender people shared their stories through poetry,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.0,generated_answer
locomo:conv-26:qa92,single-hop,What country is Caroline's grandma from?,False,Sweden,Sweden,Sweden,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa113,single-hop,What did Caroline see at the council meeting for adoption?,True,so many people wanted to create loving homes for children in need,people wanting to create loving homes for children in need,people wanting to create loving homes for children in need,0.9565217391304348,0.9523809523809523,0.9523809523809523,-0.0041407867494824835,generated_answer
locomo:conv-26:qa66,multi-hop,What does Melanie do with her family on hikes?,True,insufficient information,insufficient information,Melanie takes her kids on hikes and they enjoy it together.,0.0,0.0,0.0,0.0,local_rejection_present
locomo:conv-26:qa129,single-hop,Which song motivates Caroline to be courageous?,False,Brave,Brave,Brave,0.4,0.4,0.4,0.0,generated_answer
locomo:conv-26:qa102,single-hop,What kind of books does Caroline have in her library?,True,"classics, stories from different cultures, educational books","classics, stories from different cultures, educational books","classics, stories from different cultures, educational books",0.8750000000000001,0.8750000000000001,0.8750000000000001,0.0,generated_answer
locomo:conv-26:qa148,single-hop,What was Melanie's reaction to her children enjoying the Grand Canyon?,False,Thankful,Thankful,Thankful,0.4,0.4,0.4,0.0,generated_answer
locomo:conv-26:qa99,single-hop,What motivated Caroline to pursue counseling?,False,her own journey and the support she got made a huge difference,her own journey and the support she got made a huge difference,her own journey and the support she got made a huge difference,0.5,0.5,0.5,0.0,generated_answer
locomo:conv-26:qa111,single-hop,What creative project do Mel and her kids do together besides pottery?,True,painting,painting,painting,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa124,single-hop,What pets does Melanie have?,True,Luna and Oliver,insufficient information,a dog and a cat,0.0,0.0,0.8,0.0,local_rejection_present
locomo:conv-26:qa98,single-hop,What was discussed in the LGBTQ+ counseling workshop?,True,different therapeutic methods and how to best work with trans people,insufficient information,different therapeutic methods and how to best work with trans people,0.9473684210526316,0.0,0.9473684210526316,-0.9473684210526316,local_rejection_present
locomo:conv-26:qa126,single-hop,What activity did Caroline used to do with her dad?,False,horseback riding,horseback riding,horseback riding,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa150,single-hop,How did Melanie feel about her family supporting her?,False,thankful,thankful,thankful,0.0,0.0,0.0,0.0,generated_answer
locomo:conv-26:qa109,single-hop,What did Mel and her kids make during the pottery workshop?,True,pots,insufficient information,"pots, a cup with a dog face on it",1.0,0.0,0.25,-1.0,local_rejection_present
locomo:conv-26:qa137,single-hop,"What painting did Melanie show to Caroline on October 13, 2023?",False,a painting of a sunset with a pink sky,a painting of a sunset with a pink sky,a painting of a sunset with a pink sky,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.0,generated_answer
locomo:conv-26:qa37,multi-hop,What did Melanie paint recently?,True,a painting of a sunset with a pink sky,a painting of a sunset with a pink sky,a painting of a sunset with a pink sky,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,generated_answer
locomo:conv-26:qa86,single-hop,What type of individuals does the adoption agency Caroline is considering support?,True,LGBTQ+ folks,insufficient information,LGBTQ+ folks,0.5,0.0,0.5,-0.5,local_rejection_present
locomo:conv-26:qa60,multi-hop,What instruments does Melanie play?,True,clarinet,clarinet,clarinet,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,generated_answer
locomo:conv-26:qa89,single-hop,What does Melanie think about Caroline's decision to adopt?,False,"congrats, Caroline! Adoption sounds awesome. I'm so happy for you.","congrats, Caroline! Adoption sounds awesome. I'm so happy for you.","congrats, Caroline! Adoption sounds awesome. I'm so happy for you.",0.1904761904761905,0.1904761904761905,0.1904761904761905,0.0,generated_answer
locomo:conv-26:qa90,single-hop,How long have Mel and her husband been married?,False,5 years,5 years,5 years,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.0,generated_answer
locomo:conv-26:qa48,multi-hop,What types of pottery have Melanie and her kids made?,True,"bowl with a black and white flower design, cup with a dog face on it","bowls, cups","bowls, cups",0.2857142857142857,1.0,1.0,0.7142857142857143,generated_answer
locomo:conv-26:qa118,single-hop,What did Melanie and her family see during their camping trip last year?,True,Perseid meteor shower,Perseid meteor shower,Perseid meteor shower,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa15,multi-hop,What activities does Melanie partake in?,True,"pottery, painting, hiking, camping, clarinet",painting landscapes and still life,painting landscapes and still life,0.75,0.1,0.1,-0.65,generated_answer
locomo:conv-26:qa112,single-hop,What did Mel and her kids paint in their latest project in July 2023?,False,a painting of a sunset with a palm tree,a painting of a sunset with a palm tree,a painting of a sunset with a palm tree,0.8,0.8,0.8,0.0,generated_answer
locomo:conv-26:qa19,multi-hop,What do Melanie's kids like?,True,"pottery, painting, exploring forests, hiking, camping, playing at the park",insufficient information,insufficient information,0.0,0.0,0.0,0.0,truncated
locomo:conv-26:qa84,single-hop,How does Melanie prioritize self-care?,False,"running, reading, or playing her violin","running, reading, or playing her violin","running, reading, or playing her violin",0.47619047619047616,0.47619047619047616,0.47619047619047616,0.0,generated_answer
locomo:conv-26:qa133,single-hop,What precautionary sign did Melanie see at the café?,False,a sign posted on a door stating that someone is not being able to leave,a sign posted on a door stating that someone is not being able to leave,a sign posted on a door stating that someone is not being able to leave,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.0,generated_answer
locomo:conv-26:qa96,single-hop,What kind of counseling and mental health services is Caroline interested in pursuing?,False,"working with trans people, helping them accept themselves and supporting their mental health","working with trans people, helping them accept themselves and supporting their mental health","working with trans people, helping them accept themselves and supporting their mental health",1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa7,multi-hop,What is Caroline's relationship status?,False,insufficient information,insufficient information,insufficient information,0.0,0.0,0.0,0.0,generated_answer
locomo:conv-26:qa101,single-hop,Did Melanie make the black and white bowl in the photo?,False,Yes,Yes,Yes,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa43,multi-hop,What kind of art does Caroline make?,False,"painting, self-portraits, stained glass windows, drawings","painting, self-portraits, stained glass windows, drawings","painting, self-portraits, stained glass windows, drawings",0.0,0.0,0.0,0.0,generated_answer
locomo:conv-26:qa88,single-hop,What is Caroline excited about in the adoption process?,True,giving a home to needy kids,Making a family for kids who need one,Making a family for kids who need one,0.16666666666666666,0.8571428571428571,0.8571428571428571,0.6904761904761905,generated_answer
locomo:conv-26:qa110,single-hop,What kind of pot did Mel and her kids make with clay?,True,a cup with a dog face on it,cup with a dog face on it,cup with a dog face on it,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa120,single-hop,Whose birthday did Melanie celebrate recently?,False,daughter's,daughter's,daughter's,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,generated_answer
locomo:conv-26:qa56,multi-hop,What symbols are important to Caroline?,True,"rainbow flag mural, eagle, stained glass window",insufficient information,"rainbow flag, eagle, necklace with a cross and a heart",0.4,0.0,0.5,-0.4,local_rejection_present
locomo:conv-26:qa18,multi-hop,Where has Melanie camped?,True,"mountains, forest",insufficient information,insufficient information,0.6666666666666666,0.0,0.0,-0.6666666666666666,truncated
locomo:conv-26:qa61,multi-hop,What musical artists/bands has Melanie seen?,True,Summer Sounds,Summer Sounds,Summer Sounds,0.5,0.5,0.5,0.0,generated_answer
locomo:conv-26:qa135,single-hop,What setback did Melanie face in October 2023?,False,got hurt and had to take a break from pottery,got hurt and had to take a break from pottery,got hurt and had to take a break from pottery,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.0,generated_answer
locomo:conv-26:qa143,single-hop,What happened to Melanie's son on their road trip?,False,got into an accident,got into an accident,got into an accident,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,generated_answer
locomo:conv-26:qa151,single-hop,What did Melanie do after the road trip to relax?,False,camping trip with her fam,camping trip with her fam,camping trip with her fam,0.0,0.0,0.0,0.0,generated_answer
locomo:conv-26:qa134,single-hop,What advice does Caroline give for getting started with adoption?,True,"Do your research and find an adoption agency or lawyer. They'll help with the process and provide all the info. Gather documents like references, financial info and medical checks. Don't forget to prepare emotionally, since the wait can be hard.",insufficient information,"Do your research and find an adoption agency or lawyer. They'll help with the process and provide all the info. Gather documents like references, financial info and medical checks. Don't forget to prepare emotionally, since the wait can be hard.",0.4888888888888888,0.0,0.4888888888888888,-0.4888888888888888,local_rejection_present
locomo:conv-26:qa51,multi-hop,What has Melanie painted?,True,"a photo of a painting of a sunset with a pink sky, a photo of a painting on a wall with a blue background, a photo of a painting of a sunflower on a canvas","a painting of a sunset with a pink sky, a painting with a blue background, a painting of a horse on a wooden wall","a painting of a sunset with a pink sky, a painting with a blue background, a painting of a horse on a wooden wall",0.07407407407407407,0.19047619047619047,0.19047619047619047,0.1164021164021164,generated_answer
locomo:conv-26:qa123,single-hop,What pet does Caroline have?,False,"Oscar, a guinea pig","Oscar, a guinea pig","Oscar, a guinea pig",0.8,0.8,0.8,0.0,generated_answer
locomo:conv-26:qa93,single-hop,What was grandma's gift to Caroline?,False,necklace with a cross and a heart,necklace with a cross and a heart,necklace with a cross and a heart,0.4,0.4,0.4,0.0,generated_answer
locomo:conv-26:qa138,single-hop,"What kind of painting did Caroline share with Melanie on October 13, 2023?",False,a painting on a wall with a blue background,a painting on a wall with a blue background,a painting on a wall with a blue background,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.0,generated_answer
locomo:conv-26:qa52,multi-hop,What are Melanie's pets' names?,True,"Luna, Oliver, Bailey",Luna and Oliver,Luna and Oliver,1.0,0.4444444444444444,0.4444444444444444,-0.5555555555555556,generated_answer
locomo:conv-26:qa3,multi-hop,What did Caroline research?,True,adoption agencies,insufficient information,counseling or working in mental health,1.0,0.0,0.0,-1.0,local_rejection_present
locomo:conv-26:qa147,single-hop,How did Melanie feel after the accident?,False,scared,scared,scared,0.0,0.0,0.0,0.0,generated_answer
locomo:conv-26:qa107,single-hop,What is Melanie's reason for getting into running?,False,to de-stress,to de-stress,to de-stress,0.5714285714285715,0.5714285714285715,0.5714285714285715,0.0,generated_answer
locomo:conv-26:qa145,single-hop,How did Melanie feel about her family after the accident?,False,cherish their family,cherish their family,cherish their family,0.0,0.0,0.0,0.0,generated_answer
locomo:conv-26:qa103,single-hop,What was Melanie's favorite book from her childhood?,False,Charlotte's Web,Charlotte's Web,Charlotte's Web,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa141,single-hop,What does Caroline's drawing symbolize for her?,False,freedom and being real,freedom and being real,freedom and being real,0.5,0.5,0.5,0.0,generated_answer
locomo:conv-26:qa65,multi-hop,What are some changes Caroline has faced during her transition journey?,True,"dealing with some friends who couldn't handle her transition, finding support from close friends, creating art to express feelings and explore gender identity, using art as therapy during transition",insufficient information,"Support from friends and family, changes in relationships, dealing with non-accepting people, and emotional growth through art and self-expression.",0.20833333333333331,0.0,0.28571428571428575,-0.20833333333333331,local_rejection_present
locomo:conv-26:qa121,single-hop,Who performed at the concert at Melanie's daughter's birthday?,True,Matt Patterson,Matt Patterson,Matt Patterson,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa142,single-hop,How do Melanie and Caroline describe their journey through life together?,True,motivating and helping each other out as we journey through life,an ongoing adventure of learning and growing,an ongoing adventure of learning and growing,0.0,1.0,1.0,1.0,generated_answer
locomo:conv-26:qa127,single-hop,What did Caroline make for a local church?,False,stained glass window,stained glass window,stained glass window,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa114,single-hop,What do sunflowers represent according to Caroline?,False,warmth and happiness,warmth and happiness,warmth and happiness,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa75,multi-hop,How many children does Melanie have?,False,two,two,two,0.0,0.0,0.0,0.0,generated_answer
locomo:conv-26:qa70,multi-hop,What transgender-specific events has Caroline attended?,True,"transgender conference, LGBTQ support group, pride parade, transgender center visit",insufficient information,"transgender conference, pride event, LGBTQ support group, LGBTQ pride parade, LGBTQ art show, LGBTQ activist group meetings, LGBTQ youth center volunteering",0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,local_rejection_present
locomo:conv-26:qa140,single-hop,What did the posters at the poetry reading say?,True,trans lives matter,trans lives matter,trans lives matter,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa149,single-hop,What do Melanie's family give her?,True,"strength, support",insufficient information,insufficient information,0.5,0.0,0.0,-0.5,truncated
locomo:conv-26:qa13,multi-hop,What career path has Caroline decided to persue?,True,counseling or mental health work,counseling and mental health,counseling and mental health,0.6666666666666666,0.6,0.6,-0.06666666666666665,generated_answer
locomo:conv-26:qa104,single-hop,What book did Caroline recommend to Melanie?,False,insufficient information,insufficient information,insufficient information,0.0,0.0,0.0,0.0,generated_answer
locomo:conv-26:qa125,single-hop,Where did Oliver hide his bone once?,True,in Melanie's slipper,in my slipper,in my slipper,1.0,0.6666666666666666,0.6666666666666666,-0.33333333333333337,generated_answer
locomo:conv-26:qa34,multi-hop,What events has Caroline participated in to help children?,True,"adoption agencies research, mentoring program for LGBTQ youth",insufficient information,"LGBTQ pride event, council meeting for adoption, mentorship program for LGBTQ youth, LGBTQ counseling workshop, LGBTQ support group, school event about her transgender journey",0.28571428571428575,0.0,0.2678571428571429,-0.28571428571428575,local_rejection_present
locomo:conv-26:qa119,single-hop,How did Melanie feel while watching the meteor shower?,False,at one with the universe,at one with the universe,at one with the universe,0.25,0.25,0.25,0.0,generated_answer
locomo:conv-26:qa136,single-hop,What does Melanie do to keep herself busy during her pottery break?,False,reading,reading,reading,0.5,0.5,0.5,0.0,generated_answer
locomo:conv-26:qa38,multi-hop,What activities has Melanie done with her family?,True,"camping, visiting the beach, roasting marshmallows, telling stories around the campfire, hiking, seeing the Perseid meteor shower, playing on the beach with a kite, building a sand castle",insufficient information,"Camping, playing at the park, visiting the museum, and celebrating her daughter's birthday with a concert.",0.3333333333333333,0.0,0.27777777777777773,-0.3333333333333333,local_rejection_present
locomo:conv-26:qa47,multi-hop,Who supports Caroline when she has a negative experience?,True,Melanie,insufficient information,"Melanie, friends, family, mentors",0.0,0.0,0.8888888888888888,0.0,local_rejection_present
locomo:conv-26:qa71,multi-hop,What book did Melanie read from Caroline's suggestion?,False,insufficient information,insufficient information,insufficient information,0.0,0.0,0.0,0.0,generated_answer
locomo:conv-26:qa78,multi-hop,What items has Melanie bought?,True,figurines,insufficient information,figurines,0.5,0.0,0.5,-0.5,local_rejection_present
locomo:conv-26:qa85,single-hop,What are Caroline's plans for the summer?,True,"researching adoption agencies, LGBTQ art show, volunteering at an LGBTQ+ youth center",insufficient information,"having an LGBTQ art show with her paintings, joining a new LGBTQ activist group, and volunteering at an LGBTQ+ youth center",0.42857142857142855,0.0,0.0,-0.42857142857142855,local_rejection_present
locomo:conv-26:qa144,single-hop,How did Melanie's son handle the accident?,False,scared,scared,scared,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,generated_answer
locomo:conv-26:qa11,multi-hop,Where did Caroline move from 4 years ago?,False,Sweden,Sweden,Sweden,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa39,multi-hop,In what ways is Caroline participating in the LGBTQ community?,True,"participating in a support group, mentoring a transgender teen, giving talks at school events, joining an LGBTQ activist group, attending pride parades, volunteering at an LGBTQ+ youth center, organizing an LGBTQ art show","attending an LGBTQ support group, speaking at a school event about her transgender journey, mentoring a transgender teen, participating in an LGBTQ pride event, volunteering at an LGBTQ+ youth center, planning an LGBTQ art show","attending an LGBTQ support group, speaking at a school event about her transgender journey, mentoring a transgender teen, participating in an LGBTQ pride event, volunteering at an LGBTQ+ youth center, attending an LGBTQ counseling workshop, applying to adoption agencies that support LGBTQ+ folks, planning an LGBTQ art show, participating in a pride parade, participating in an LGBTQ activist group",0.5821428571428572,0.35198412698412695,0.475,-0.23015873015873023,local_rejection_present
locomo:conv-26:qa131,single-hop,Who is Melanie a fan of in terms of modern music?,True,Ed Sheeran,Ed Sheeran,Ed Sheeran,1.0,1.0,1.0,0.0,generated_answer
