qid,tipo,question,gold,answer,old_answer,f1,old_f1,delta,all_support,missing,missing_in_frontier,missing_in_acquisition,missing_in_logged_candidates,closed,covered_closed,zero_candidates,binding_conflict,proof,failure,verified,accepted,verification_failures,context_changed,same_order,same_set,llm,hits,seconds
locomo:conv-26:qa55,multi-hop,What subject have Caroline and Melanie both painted?,Sunsets,horses,horses,0.0,0.0,0.0,False,p-3684dacb8df36e59057db822,p-3684dacb8df36e59057db822,,,1,1,0,0,nenhuma,no_verified_witness,2,0,"{""not_explicit"": 1, ""invalid_evidence"": 1}",False,False,False,7,0,22.963
locomo:conv-26:qa105,single-hop,"What did Caroline take away from the book ""Becoming Nicole""?",Lessons on self-acceptance and finding support,self-acceptance and how to find support,self-acceptance and how to find support,0.6,0.6,0.0,True,,,,,3,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""wrong_answer_type"": 1}",False,False,False,8,0,18.645
locomo:conv-26:qa146,single-hop,How did Melanie's children handle the accident?,They were scared but resilient,scared but reassured,scared but reassured,0.5,0.5,0.0,True,,,,,0,0,3,0,nenhuma,zero_atom_candidates,0,0,{},False,False,False,7,0,14.568999999999999
locomo:conv-26:qa139,single-hop,What was the poetry reading that Caroline attended about?,It was a transgender poetry reading where transgender people shared their stories.,transgender poetry reading where transgender people shared their stories through poetry,transgender poetry reading where transgender people shared their stories through poetry,0.8181818181818182,0.8181818181818182,0.0,True,,,,,2,1,0,0,nenhuma,closed_coverage_rejected,2,0,"{""wrong_identity"": 2}",False,False,False,8,0,17.041
locomo:conv-26:qa92,single-hop,What country is Caroline's grandma from?,Sweden,Sweden,Sweden,1.0,1.0,0.0,True,,,,,0,0,0,1,nenhuma,binding_conflict_or_beam_cut,0,0,{},False,False,False,5,0,8.209999999999999
locomo:conv-26:qa113,single-hop,What did Caroline see at the council meeting for adoption?,many people wanting to create loving homes for children in need,so many people wanted to create loving homes for children in need,so many people wanted to create loving homes for children in need,0.9565217391304348,0.9565217391304348,0.0,True,,,,,0,0,2,0,nenhuma,zero_atom_candidates,0,0,{},False,False,False,5,0,13.693000000000001
locomo:conv-26:qa66,multi-hop,What does Melanie do with her family on hikes?,"Roast marshmallows, tell stories",insufficient information,explore forests,0.0,0.0,0.0,False,p-f994651b139b1c90b028cf2c,,,p-f994651b139b1c90b028cf2c,1,0,0,1,nenhuma,closed_coverage_rejected,1,0,"{""wrong_answer_type"": 1}",False,False,False,7,0,23.793
locomo:conv-26:qa129,single-hop,Which song motivates Caroline to be courageous?,Brave by Sara Bareilles,Brave,Brave,0.4,0.4,0.0,True,,,,,1,0,1,1,nenhuma,closed_coverage_rejected,1,0,"{""not_explicit"": 1}",False,False,False,8,0,20.08
locomo:conv-26:qa102,single-hop,What kind of books does Caroline have in her library?,"kids' books - classics, stories from different cultures, educational books","classics, stories from different cultures, educational books","classics, stories from different cultures, educational books",0.8750000000000001,0.8750000000000001,0.0,True,,,,,3,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""invalid_evidence"": 1}",False,False,False,8,0,15.941
locomo:conv-26:qa148,single-hop,What was Melanie's reaction to her children enjoying the Grand Canyon?,She was happy and thankful,Thankful,Thankful,0.4,0.4,0.0,True,,,,,3,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""not_explicit"": 1}",False,False,False,8,0,17.689
locomo:conv-26:qa99,single-hop,What motivated Caroline to pursue counseling?,"her own journey and the support she received, and how counseling improved her life",her own journey and the support she got made a huge difference,her own journey and the support she got made a huge difference,0.5,0.5,0.0,True,,,,,4,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""incomplete_answer"": 1}",False,False,False,9,0,20.361
locomo:conv-26:qa111,single-hop,What creative project do Mel and her kids do together besides pottery?,painting,painting,painting,1.0,1.0,0.0,True,,,,,2,0,0,1,nenhuma,closed_coverage_rejected,1,0,"{""not_explicit"": 1}",False,False,False,8,0,16.209
locomo:conv-26:qa124,single-hop,What pets does Melanie have?,Two cats and a dog,Luna and Oliver,Luna and Oliver,0.0,0.0,0.0,True,,,,,1,1,0,0,full,none,2,1,"{""wrong_answer_type"": 1}",False,True,True,7,0,12.319
locomo:conv-26:qa98,single-hop,What was discussed in the LGBTQ+ counseling workshop?,therapeutic methods and how to best work with trans people,different therapeutic methods and how to best work with trans people,different therapeutic methods and how to best work with trans people,0.9473684210526316,0.9473684210526316,0.0,True,,,,,0,0,1,0,nenhuma,zero_atom_candidates,0,0,{},False,False,False,5,0,7.223
locomo:conv-26:qa126,single-hop,What activity did Caroline used to do with her dad?,Horseback riding,horseback riding,horseback riding,1.0,1.0,0.0,True,,,,,0,0,2,0,nenhuma,zero_atom_candidates,0,0,{},False,True,True,5,0,14.483
locomo:conv-26:qa150,single-hop,How did Melanie feel about her family supporting her?,She appreciated them a lot,thankful,grateful,0.0,0.0,0.0,True,,,,,3,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""not_explicit"": 1}",False,False,False,8,0,18.085
locomo:conv-26:qa109,single-hop,What did Mel and her kids make during the pottery workshop?,pots,pots,pots,1.0,1.0,0.0,True,,,,,0,0,4,0,nenhuma,zero_atom_candidates,0,0,{},False,False,False,7,0,16.503999999999998
locomo:conv-26:qa137,single-hop,"What painting did Melanie show to Caroline on October 13, 2023?",A painting inspired by sunsets with a pink sky.,a painting of a sunset with a pink sky,a painting of a sunset with a pink sky,0.7692307692307692,0.7692307692307692,0.0,True,,,,,1,0,1,0,nenhuma,closed_coverage_rejected,1,0,"{""missing_atom"": 1}",False,False,False,7,0,19.528000000000002
locomo:conv-26:qa37,multi-hop,What did Melanie paint recently?,sunset,a painting of a sunset with a pink sky,a horse,0.2857142857142857,0.0,0.2857142857142857,False,p-3684dacb8df36e59057db822;p-660bd3da04e2ef681fc2f4d4,p-3684dacb8df36e59057db822,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""incomplete_answer"": 1}",False,False,False,7,0,13.99
locomo:conv-26:qa86,single-hop,What type of individuals does the adoption agency Caroline is considering support?,LGBTQ+ individuals,LGBTQ+ folks,LGBTQ+ folks,0.5,0.5,0.0,True,,,,,3,0,1,0,nenhuma,closed_coverage_rejected,1,0,"{""wrong_identity"": 1}",False,False,False,9,0,17.276
locomo:conv-26:qa60,multi-hop,What instruments does Melanie play?,clarinet and violin,clarinet,clarinet,0.6666666666666666,0.6666666666666666,0.0,False,p-797951a6916f3bbd0722060a,,,p-797951a6916f3bbd0722060a,1,1,0,0,full,none,2,1,"{""invalid_evidence"": 1}",False,True,True,7,0,17.275
locomo:conv-26:qa89,single-hop,What does Melanie think about Caroline's decision to adopt?,she thinks Caroline is doing something amazing and will be an awesome mom,"congrats, Caroline! Adoption sounds awesome. I'm so happy for you.",congrats! Your future family is gonna be so lucky to have you!,0.1904761904761905,0.17391304347826086,0.01656314699792963,True,,,,,1,0,2,0,nenhuma,closed_coverage_rejected,1,0,"{""wrong_answer_type"": 1}",False,False,False,8,0,23.357
locomo:conv-26:qa90,single-hop,How long have Mel and her husband been married?,Mel and her husband have been married for 5 years.,5 years,5 years,0.3636363636363636,0.3636363636363636,0.0,True,,,,,0,0,0,1,nenhuma,binding_conflict_or_beam_cut,0,0,{},False,False,False,4,0,12.382
locomo:conv-26:qa48,multi-hop,What types of pottery have Melanie and her kids made?,"bowls, cup","bowl with a black and white flower design, cup with a dog face on it","bowl with a black and white flower design, cup with a dog face on it",0.2857142857142857,0.2857142857142857,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""not_explicit"": 1}",False,False,False,7,0,17.023
locomo:conv-26:qa118,single-hop,What did Melanie and her family see during their camping trip last year?,Perseid meteor shower,Perseid meteor shower,Perseid meteor shower,1.0,1.0,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""invalid_evidence"": 1}",False,False,False,7,0,21.09
locomo:conv-26:qa15,multi-hop,What activities does Melanie partake in?,"pottery, camping, painting, swimming","pottery, painting, hiking, camping, clarinet","pottery, painting, clarinet, camping, hiking, beach trips, family outings, watching meteor showers",0.75,0.75,0.0,False,p-797951a6916f3bbd0722060a,p-797951a6916f3bbd0722060a,,,1,1,0,0,full,none,2,2,{},False,False,False,7,0,14.371
locomo:conv-26:qa112,single-hop,What did Mel and her kids paint in their latest project in July 2023?,a sunset with a palm tree,a painting of a sunset with a palm tree,a painting of a sunset with a palm tree,0.8,0.8,0.0,True,,,,,2,0,1,0,nenhuma,closed_coverage_rejected,1,0,"{""incomplete_answer"": 1}",False,False,False,8,0,26.621000000000002
locomo:conv-26:qa19,multi-hop,What do Melanie's kids like?,"dinosaurs, nature","pottery, painting, exploring forests, hiking, camping, playing at the park","pottery, painting, hiking, camping, exploring forests, playing at the park",0.0,0.0,0.0,False,p-b6988067a40ba3366c404f34,p-b6988067a40ba3366c404f34,,p-b6988067a40ba3366c404f34,2,1,0,0,nenhuma,closed_coverage_rejected,2,0,"{""wrong_identity"": 1, ""not_explicit"": 1}",False,False,False,8,0,15.997
locomo:conv-26:qa84,single-hop,How does Melanie prioritize self-care?,"by carving out some me-time each day for activities like running, reading, or playing the violin","running, reading, or playing her violin","running, pottery, family time, creativity",0.47619047619047616,0.1,0.3761904761904762,True,,,,,1,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""invalid_evidence"": 1}",False,False,False,6,0,12.688
locomo:conv-26:qa133,single-hop,What precautionary sign did Melanie see at the café?,A sign stating that someone is not being able to leave,a sign posted on a door stating that someone is not being able to leave,a sign posted on a door stating that someone is not being able to leave,0.8695652173913044,0.8695652173913044,0.0,True,,,,,0,0,1,1,nenhuma,zero_atom_candidates,0,0,{},False,False,False,6,0,12.01
locomo:conv-26:qa96,single-hop,What kind of counseling and mental health services is Caroline interested in pursuing?,"working with trans people, helping them accept themselves and supporting their mental health","working with trans people, helping them accept themselves and supporting their mental health","working with trans people, helping them accept themselves and supporting their mental health",1.0,1.0,0.0,True,,,,,2,1,0,0,nenhuma,closed_coverage_rejected,2,0,"{""wrong_answer_type"": 2}",False,False,False,8,0,20.292
locomo:conv-26:qa7,multi-hop,What is Caroline's relationship status?,Single,insufficient information,insufficient information,0.0,0.0,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""wrong_answer_type"": 1}",False,False,False,7,0,11.229
locomo:conv-26:qa101,single-hop,Did Melanie make the black and white bowl in the photo?,Yes,Yes,Yes,1.0,1.0,0.0,True,,,,,1,0,1,0,provisional,none,1,1,{},False,True,True,7,0,18.486
locomo:conv-26:qa43,multi-hop,What kind of art does Caroline make?,abstract art,"painting, self-portraits, stained glass windows, drawings","paintings, self-portraits, stained glass windows",0.0,0.0,0.0,False,p-660bd3da04e2ef681fc2f4d4,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""wrong_answer_type"": 1}",False,False,False,7,0,18.485
locomo:conv-26:qa88,single-hop,What is Caroline excited about in the adoption process?,creating a family for kids who need one,giving a home to needy kids,giving a loving home to kids who need it,0.16666666666666666,0.39999999999999997,-0.2333333333333333,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""invalid_evidence"": 1}",False,False,False,7,0,15.426
locomo:conv-26:qa110,single-hop,What kind of pot did Mel and her kids make with clay?,a cup with a dog face on it,a cup with a dog face on it,a cup with a dog face on it,1.0,1.0,0.0,True,,,,,0,0,3,0,nenhuma,zero_atom_candidates,0,0,{},False,False,False,6,0,14.04
locomo:conv-26:qa120,single-hop,Whose birthday did Melanie celebrate recently?,Melanie's daughter,daughter's,daughter's,0.6666666666666666,0.6666666666666666,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""wrong_identity"": 1}",False,False,False,7,0,15.711
locomo:conv-26:qa56,multi-hop,What symbols are important to Caroline?,"Rainbow flag, transgender symbol","rainbow flag mural, eagle, stained glass window","rainbow flag mural, eagle, stained glass window",0.4,0.4,0.0,True,,,,,3,3,0,0,nenhuma,no_verified_witness,2,0,"{""invalid_evidence"": 1, ""not_explicit"": 1}",False,False,False,9,0,19.378
locomo:conv-26:qa18,multi-hop,Where has Melanie camped?,"beach, mountains, forest","mountains, forest","mountains, beach",0.6666666666666666,0.6666666666666666,0.0,True,,,,,1,1,0,0,full,none,2,2,{},False,False,False,7,0,12.870999999999999
locomo:conv-26:qa61,multi-hop,What musical artists/bands has Melanie seen?,"Summer Sounds, Matt Patterson",Summer Sounds,Summer Sounds,0.5,0.5,0.0,False,p-660bd3da04e2ef681fc2f4d4,p-660bd3da04e2ef681fc2f4d4,,p-660bd3da04e2ef681fc2f4d4,1,1,0,0,nenhuma,no_verified_witness,2,0,"{""wrong_answer_type"": 2}",False,False,False,7,0,15.267
locomo:conv-26:qa135,single-hop,What setback did Melanie face in October 2023?,She got hurt and had to take a break from pottery.,got hurt and had to take a break from pottery,got hurt and had to take a break from pottery,0.9411764705882353,0.9411764705882353,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""not_explicit"": 1}",False,False,False,7,0,13.860000000000001
locomo:conv-26:qa143,single-hop,What happened to Melanie's son on their road trip?,He got into an accident,got into an accident,got into an accident,0.8571428571428571,0.8571428571428571,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""wrong_identity"": 1}",False,False,False,7,0,15.912
locomo:conv-26:qa151,single-hop,What did Melanie do after the road trip to relax?,Went on a nature walk or hike,camping trip with her fam,camping trips with her fam,0.0,0.0,0.0,True,,,,,4,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""invalid_evidence"": 1}",False,False,False,9,0,22.518
locomo:conv-26:qa134,single-hop,What advice does Caroline give for getting started with adoption?,"Do research, find an adoption agency or lawyer, gather necessary documents, and prepare emotionally.","Do your research and find an adoption agency or lawyer. They'll help with the process and provide all the info. Gather documents like references, financial info and medical checks. Don't forget to prepare emotionally, since the wait can be hard.","Do your research and find an adoption agency or lawyer. They'll help with the process and provide all the info. Gather documents like references, financial info and medical checks. Don't forget to prepare emotionally, since the wait can be hard.",0.4888888888888888,0.4888888888888888,0.0,True,,,,,2,2,0,0,nenhuma,no_verified_witness,2,0,"{""wrong_answer_type"": 2}",False,False,False,8,0,20.798
locomo:conv-26:qa51,multi-hop,What has Melanie painted?,"Horse, sunset, sunrise","a photo of a painting of a sunset with a pink sky, a photo of a painting on a wall with a blue background, a photo of a painting of a sunflower on a canvas","a horse, a sunflower, bowls and a starfish, a group of people sitting on chairs watching a band, a lake sunrise",0.07407407407407407,0.5555555555555555,-0.4814814814814814,False,p-3684dacb8df36e59057db822;p-797951a6916f3bbd0722060a,p-3684dacb8df36e59057db822,,p-797951a6916f3bbd0722060a,1,1,0,0,full,none,2,1,"{""not_explicit"": 1}",False,False,False,7,0,13.122
locomo:conv-26:qa123,single-hop,What pet does Caroline have?,guinea pig,"Oscar, a guinea pig","Oscar, a guinea pig",0.8,0.8,0.0,True,,,,,1,1,0,0,nenhuma,no_verified_witness,1,0,"{""incomplete_answer"": 1}",False,False,False,6,0,8.409
locomo:conv-26:qa93,single-hop,What was grandma's gift to Caroline?,necklace,necklace with a cross and a heart,necklace with a cross and a heart,0.4,0.4,0.0,True,,,,,2,0,1,0,provisional,none,1,1,{},False,True,True,8,0,19.866
locomo:conv-26:qa138,single-hop,"What kind of painting did Caroline share with Melanie on October 13, 2023?",An abstract painting with blue streaks on a wall.,a painting on a wall with a blue background,a painting on a wall with a blue background,0.7692307692307692,0.7692307692307692,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""not_explicit"": 1}",False,False,False,7,0,24.387
locomo:conv-26:qa52,multi-hop,What are Melanie's pets' names?,"Oliver, Luna, Bailey","Luna, Oliver, Bailey","Luna, Oliver, Bailey",1.0,1.0,0.0,True,,,,,1,1,0,0,nenhuma,no_verified_witness,2,0,"{""wrong_identity"": 2}",False,False,False,7,1,11.139
locomo:conv-26:qa3,multi-hop,What did Caroline research?,Adoption agencies,adoption agencies,adoption agencies,1.0,1.0,0.0,True,,,,,1,1,0,0,full,none,2,2,{},False,False,False,7,0,12.985
locomo:conv-26:qa147,single-hop,How did Melanie feel after the accident?,Grateful and thankful for her family,scared,scared,0.0,0.0,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""invalid_evidence"": 1}",False,False,False,7,0,15.523
locomo:conv-26:qa107,single-hop,What is Melanie's reason for getting into running?,To de-stress and clear her mind,to de-stress,to de-stress,0.5714285714285715,0.5714285714285715,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""not_explicit"": 1}",False,False,False,7,0,14.106
locomo:conv-26:qa145,single-hop,How did Melanie feel about her family after the accident?,They are important and mean the world to her,cherish their family,they mean the world to her and she's thankful to have them,0.0,0.588235294117647,-0.588235294117647,True,,,,,4,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""invalid_evidence"": 1}",False,False,False,9,0,23.224
locomo:conv-26:qa103,single-hop,What was Melanie's favorite book from her childhood?,"""Charlotte's Web""",Charlotte's Web,Charlotte's Web,1.0,1.0,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""wrong_answer_type"": 1}",False,False,False,7,0,13.418000000000001
locomo:conv-26:qa141,single-hop,What does Caroline's drawing symbolize for her?,Freedom and being true to herself.,freedom and being real,freedom and being real,0.5,0.5,0.0,True,,,,,3,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""not_explicit"": 1}",False,True,True,8,0,13.863
locomo:conv-26:qa65,multi-hop,What are some changes Caroline has faced during her transition journey?,"Changes to her body, losing unsupportive friends","dealing with some friends who couldn't handle her transition, finding support from close friends, creating art to express feelings and explore gender identity, using art as therapy during transition","dealing with a tough breakup, changing body, exploring her trans experience, working through feelings, finding support and acceptance",0.20833333333333331,0.3333333333333333,-0.125,True,,,,,4,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""not_explicit"": 1}",False,False,False,9,1,17.849
locomo:conv-26:qa121,single-hop,Who performed at the concert at Melanie's daughter's birthday?,Matt Patterson,Matt Patterson,Matt Patterson,1.0,1.0,0.0,True,,,,,0,0,2,0,nenhuma,zero_atom_candidates,0,0,{},False,False,False,6,0,14.231
locomo:conv-26:qa142,single-hop,How do Melanie and Caroline describe their journey through life together?,An ongoing adventure of learning and growing.,motivating and helping each other out as we journey through life,"learning and growing, ongoing adventure, supporting each other, making a difference, expressing themselves, creating community, helping others, finding acceptance, building families, cherishing family moments, connecting with nature, sharing stories, bonding over art and music, volunteering, attending events, and spreading love and understanding",0.0,0.19047619047619047,-0.19047619047619047,True,,,,,3,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""not_explicit"": 1}",False,False,False,8,0,31.433
locomo:conv-26:qa127,single-hop,What did Caroline make for a local church?,a stained glass window,stained glass window,stained glass window,1.0,1.0,0.0,True,,,,,0,0,3,0,nenhuma,zero_atom_candidates,0,0,{},False,False,False,6,0,13.503
locomo:conv-26:qa114,single-hop,What do sunflowers represent according to Caroline?,warmth and happiness,warmth and happiness,warmth and happiness,1.0,1.0,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""not_explicit"": 1}",False,False,False,7,0,12.504
locomo:conv-26:qa75,multi-hop,How many children does Melanie have?,3,two,insufficient information,0.0,0.0,0.0,True,,,,,1,1,0,0,nenhuma,no_verified_witness,2,0,"{""wrong_answer_type"": 1, ""invalid_evidence"": 1}",False,False,False,7,1,13.462
locomo:conv-26:qa70,multi-hop,What transgender-specific events has Caroline attended?,"Poetry reading, conference","transgender conference, LGBTQ support group, pride parade, transgender center visit","transgender conference, transgender support group, transgender poetry reading",0.3333333333333333,0.7333333333333334,-0.4000000000000001,False,p-329eca34cca6ca09ab42de00,,,,1,1,2,0,full,none,2,1,"{""not_explicit"": 1}",False,False,False,9,0,21.493
locomo:conv-26:qa140,single-hop,What did the posters at the poetry reading say?,"""Trans Lives Matter""",trans lives matter,trans lives matter,1.0,1.0,0.0,True,,,,,0,0,3,0,nenhuma,zero_atom_candidates,0,0,{},False,False,False,6,0,13.368
locomo:conv-26:qa149,single-hop,What do Melanie's family give her?,Strength and motivation,"strength, support",love and support,0.5,0.0,0.5,True,,,,,2,2,0,0,nenhuma,no_verified_witness,2,0,"{""wrong_identity"": 2}",False,False,False,8,0,13.116999999999999
